Timestamp,I agree to participate for the purpose of the research study.,1. Your gender:,2. Your major of studying:,How would you evaluate the impact of COVID-19 on business school faculty?,Has the COVID-19 pandemic disrupted the learning process at your institution?,How would you evaluate the Covid-19 crisis management at your institution? *Crisis management-the process by which a business or other organization deals with a sudden emergency situation.,Was communication among and between all staff (academic and administrative) and students effective during the pandemic? ,Has the institution's strategy changed to reflect the impact of the pandemic?,Online learning was stressful,How stressful was Online Education for you?,How would you evaluate the academic programs offered by your institution?,To what extent has the online learning impacted your experience as a student of university?  ,"In light of the pandemic, what were the dynamics in terms of connection growth among your groupmates?  ",What was the overall effect of the online education on your academic freedom?  * Academic freedom means that both faculty members and students can engage in intellectual debate without fear of censorship or retaliation.,How would you rate use of online learning in university's BS?,"How effective for you was use of open educational resources? * OER can include textbooks, course materials and full courses, modules, streaming videos, tests, software, and any other tools, materials, or techniques used to support access to knowledge.",How often did your institution support students without the necessary access to remote learning?   ,Total
4/16/2023 1:38:41,,Female,Accounting and audit,5,5,3,1,3,TRUE,5,2,5,2,2,2,3,1,39
4/16/2023 1:52:35,Yes,Female,Digital marketing,4,4,2,3,2,TRUE,4,1,3,4,1,4,3,3,38
4/16/2023 19:12:39,Yes,Female,Accounting and audit,3,4,4,4,3,TRUE,3,4,4,3,3,4,3,4,46
4/18/2023 14:04:32,Yes,Female,Management,5,3,3,3,3,TRUE,3,3,3,3,3,3,3,3,41
4/18/2023 14:09:33,Yes,Male,Accounting and audit,5,3,3,5,2,TRUE,3,4,2,2,2,4,2,4,41
4/18/2023 14:13:29,Yes,Male,Accounting and audit,4,3,3,4,4,TRUE,3,3,4,3,4,2,4,3,44
4/18/2023 14:48:07,Yes,Male,Economics,5,5,3,2,4,TRUE,5,4,5,1,3,2,2,3,44
4/18/2023 15:04:04,Yes,Female,Economics,3,2,3,1,4,TRUE,4,3,2,1,3,1,4,3,34
4/18/2023 15:25:42,Yes,Female,Economics,5,5,4,3,3,TRUE,5,3,1,1,2,3,4,4,43
4/18/2023 15:39:39,Yes,Female,Finance,3,3,3,3,4,TRUE,3,3,4,1,2,4,2,3,38
4/18/2023 22:36:57,Yes,Female,Accounting and audit,5,4,3,2,4,TRUE,5,2,3,1,2,3,4,3,41
4/19/2023 17:00:25,Yes,Prefer not to say,Economics,3,2,4,3,5,TRUE,4,3,2,3,4,5,2,5,45
4/19/2023 17:12:35,Yes,Male,Management,2,3,3,2,4,TRUE,4,3,3,3,3,3,3,3,39
4/19/2023 17:13:55,Yes,Female,Digital marketing,4,5,3,2,3,TRUE,4,3,2,1,3,3,4,3,40
4/19/2023 17:25:25,Yes,Female,Finance,5,3,2,2,2,TRUE,5,2,3,2,2,2,1,1,32
4/20/2023 0:09:37,Yes,Male,Finance,3,4,2,3,4,TRUE,4,5,1,1,2,4,4,3,40
4/20/2023 9:23:30,Yes,Male,Management,3,5,4,3,4,FALSE,2,3,3,3,4,2,4,4,44
4/20/2023 9:25:03,Yes,Prefer not to say,Digital marketing,3,4,3,3,2,TRUE,4,3,4,3,2,3,3,4,41
4/25/2023 9:57:53,Yes,Male,Finance,2,4,3,2,3,TRUE,3,2,2,3,2,2,2,2,32
4/25/2023 10:02:17,Yes,Female,Accounting and audit,3,3,2,4,2,TRUE,3,2,4,2,4,2,4,2,37
4/25/2023 10:20:12,Yes,Female,Finance,3,2,4,4,3,FALSE,2,4,3,3,3,4,5,3,43
4/25/2023 10:41:31,Yes,Male,Accounting and audit,4,4,4,3,3,FALSE,3,4,4,4,3,2,3,3,44
4/25/2023 11:24:04,Yes,Male,Economics,5,5,4,1,3,TRUE,5,4,5,2,1,3,1,4,43
4/25/2023 11:30:37,Yes,Female,Finance,3,3,4,4,4,TRUE,4,3,5,2,3,3,3,3,44
4/25/2023 12:37:51,Yes,Female,Finance,4,3,4,3,4,TRUE,3,3,3,3,3,3,3,3,42
4/25/2023 14:25:32,Yes,Male,Accounting and audit,5,4,1,1,3,FALSE,2,2,1,2,3,3,1,2,30
4/25/2023 14:45:19,Yes,Female,Finance,4,4,4,4,4,TRUE,4,4,4,4,4,2,3,2,47
4/25/2023 22:49:45,Yes,Female,Digital marketing,5,3,3,2,4,FALSE,1,4,5,5,3,5,5,3,48
4/26/2023 9:39:37,Yes,Female,Accounting and audit,3,2,3,3,4,FALSE,1,3,3,5,5,1,4,3,40
4/26/2023 10:06:02,Yes,Female,Management,3,3,4,4,4,TRUE,3,3,3,3,4,3,4,4,45
4/26/2023 10:06:49,Yes,Female,Finance,1,1,1,1,1,FALSE,1,1,1,1,1,1,1,1,13
4/26/2023 10:09:17,Yes,Female,Finance,4,5,4,3,3,TRUE,5,5,1,2,2,4,3,2,43
4/26/2023 10:10:28,Yes,Female,Accounting and audit,2,5,5,4,3,FALSE,2,4,4,3,4,2,3,3,44
4/26/2023 10:19:19,Yes,Female,Digital marketing,3,3,4,3,1,TRUE,4,4,4,4,4,4,1,2,41
4/26/2023 10:35:40,Yes,Prefer not to say,Management,4,4,4,5,5,FALSE,1,4,2,4,4,4,2,3,46
4/26/2023 10:35:48,Yes,Female,Accounting and audit,1,1,1,2,3,FALSE,2,3,1,1,3,3,3,2,26
4/26/2023 10:37:44,Yes,Female,Economics,2,2,3,5,2,FALSE,1,1,2,1,1,1,1,3,25
4/26/2023 12:31:36,Yes,Female,Management,1,2,1,2,1,FALSE,2,1,4,2,4,3,3,2,28
4/26/2023 12:32:27,Yes,Female,Accounting and audit,3,1,1,1,1,TRUE,3,3,5,1,2,1,1,1,24
4/26/2023 12:43:58,Yes,Male,Finance,2,2,2,2,2,FALSE,2,2,2,2,2,1,1,1,23
4/26/2023 12:51:54,Yes,Female,Accounting and audit,3,4,3,3,3,TRUE,3,3,3,3,3,3,3,3,40
4/27/2023 10:16:06,Yes,Female,Accounting and audit,1,1,2,2,4,TRUE,4,4,2,2,2,3,3,3,33
4/27/2023 11:12:01,Yes,Female,Finance,2,3,4,5,3,FALSE,2,3,2,2,4,5,4,4,43
4/27/2023 13:05:00,Yes,Female,Finance,1,3,3,3,3,TRUE,3,4,4,4,2,2,2,2,36
5/2/2023 11:47:58,Yes,Female,Digital marketing,2,4,4,4,3,FALSE,1,3,4,1,2,3,5,3,39
5/2/2023 20:54:27,Yes,Male,Finance,5,5,3,3,3,FALSE,1,3,2,2,2,2,4,3,38
5/2/2023 20:55:26,Yes,Female,Finance,4,5,4,4,4,TRUE,4,4,4,4,4,4,4,4,53
5/2/2023 21:09:53,Yes,Male,Economics,5,5,1,3,2,TRUE,4,2,4,1,5,2,3,3,40
5/3/2023 13:47:55,Yes,Male,Digital marketing,4,3,2,4,2,FALSE,2,4,4,3,3,4,3,2,40
5/3/2023 15:37:33,Yes,Female,Finance,5,2,4,5,2,TRUE,3,5,5,4,5,4,5,5,54
5/3/2023 15:41:57,Yes,Female,Economics,4,4,3,3,3,TRUE,5,4,2,1,3,3,5,4,44
5/3/2023 15:45:15,Yes,Female,Management,1,5,3,3,3,TRUE,3,3,4,4,2,3,3,3,40
5/3/2023 16:04:08,Yes,Female,Accounting and audit,2,3,4,3,4,FALSE,2,3,4,3,4,4,3,3,42
5/3/2023 16:10:45,Yes,Male,Finance,5,4,2,3,4,TRUE,3,2,2,4,3,4,2,4,42
5/3/2023 16:20:48,Yes,Female,Management,5,5,5,2,2,TRUE,3,1,1,1,1,1,2,2,31
5/3/2023 16:33:10,Yes,Female,Management,4,4,3,2,3,FALSE,2,3,2,4,3,4,3,4,41
5/3/2023 17:18:03,Yes,Male,Management,5,5,5,1,3,TRUE,3,3,2,3,2,1,2,2,37
5/3/2023 17:23:02,Yes,Female,Economics,4,5,3,5,3,FALSE,3,4,2,5,5,5,4,5,53
5/3/2023 17:53:41,Yes,Male,Finance,4,5,4,3,2,TRUE,5,2,3,2,3,3,3,1,40
5/3/2023 18:50:50,Yes,Female,Digital marketing,3,3,4,2,4,TRUE,3,3,3,3,3,3,3,3,40
5/3/2023 19:24:49,Yes,Male,Accounting and audit,2,2,2,4,5,TRUE,5,4,4,3,1,3,3,4,42
5/3/2023 19:44:00,Yes,Female,Management,4,5,3,2,4,TRUE,5,3,1,1,1,3,3,3,38
5/3/2023 20:43:48,Yes,Male,Digital marketing,3,4,4,4,5,FALSE,2,4,3,4,3,4,5,3,48
5/3/2023 20:53:00,Yes,Female,Digital marketing,5,5,3,3,4,TRUE,4,2,5,2,2,3,2,4,44
5/4/2023 12:09:46,Yes,Female,Digital marketing,3,5,4,4,3,FALSE,1,4,5,5,3,3,4,3,47
5/4/2023 13:08:30,Yes,Female,Economics,4,4,5,2,2,TRUE,5,4,1,2,2,1,5,4,41
5/4/2023 15:12:33,Yes,Female,Management,4,4,3,2,2,TRUE,3,3,2,4,2,4,3,3,39
5/4/2023 21:16:15,Yes,Male,Finance,3,3,3,3,3,TRUE,3,3,3,3,3,3,3,3,39
5/5/2023 0:26:29,Yes,Female,Accounting and audit,4,3,3,4,2,TRUE,3,3,2,4,4,2,3,2,39
5/5/2023 0:38:59,Yes,Female,Digital marketing,4,4,4,2,4,TRUE,5,4,5,5,1,4,4,2,48
5/5/2023 2:35:27,Yes,Female,Management,3,2,4,2,4,TRUE,5,5,3,5,3,3,4,3,46
5/5/2023 7:54:20,Yes,Female,Digital marketing,5,5,3,4,3,FALSE,1,2,4,4,5,3,2,4,45
5/5/2023 13:09:06,Yes,Male,Digital marketing,2,3,2,2,3,TRUE,4,2,4,2,4,4,4,2,38
5/5/2023 17:18:26,Yes,Female,Finance,1,2,5,5,5,FALSE,2,4,5,1,4,5,5,5,49
5/5/2023 18:16:13,Yes,Female,Finance,2,3,3,4,1,FALSE,2,4,2,3,1,3,4,2,34
5/5/2023 19:50:15,Yes,Female,Digital marketing,3,4,4,3,3,TRUE,5,3,3,3,3,2,5,1,42
5/5/2023 19:56:30,Yes,Male,Finance,4,4,3,4,4,TRUE,3,3,3,4,4,4,3,5,48
5/5/2023 20:05:13,Yes,Male,Economics,3,5,3,4,2,TRUE,4,4,3,3,4,5,4,3,47
5/5/2023 20:05:37,Yes,Prefer not to say,Digital marketing,5,5,5,5,5,TRUE,5,5,5,5,5,5,5,5,65
5/5/2023 20:06:01,Yes,Male,Accounting and audit,3,3,3,3,3,TRUE,3,3,3,3,3,3,3,3,39
5/5/2023 20:06:25,Yes,Female,Finance,3,2,2,1,2,FALSE,2,2,2,3,4,3,2,3,31
5/5/2023 20:06:48,Yes,Female,Management,3,3,2,4,3,TRUE,5,5,4,4,4,2,2,3,44
5/5/2023 20:07:09,Yes,Male,Digital marketing,4,2,2,4,5,TRUE,3,3,4,3,3,5,3,3,44
5/5/2023 20:21:44,Yes,Female,Digital marketing,5,5,3,3,3,FALSE,2,4,3,1,3,3,3,3,41
5/5/2023 20:59:19,Yes,Female,Finance,3,2,3,2,4,FALSE,1,5,4,2,4,4,5,4,43
5/5/2023 21:01:44,Yes,Female,Digital marketing,4,4,3,3,3,TRUE,3,5,5,4,4,4,4,4,50
5/5/2023 23:37:38,Yes,Male,Digital marketing,3,3,3,2,4,TRUE,3,4,2,3,4,4,2,4,41
5/6/2023 11:45:12,Yes,Female,Management,4,2,2,5,5,FALSE,2,2,2,3,4,3,2,3,39
5/6/2023 11:45:35,Yes,Prefer not to say,Finance,5,3,1,2,3,FALSE,2,3,3,3,2,4,1,4,36
5/6/2023 11:50:18,Yes,Female,Digital marketing,4,4,4,4,3,TRUE,3,4,3,4,3,4,3,4,47
5/6/2023 11:50:53,Yes,Female,Management,3,4,2,2,4,TRUE,3,3,4,2,4,3,3,3,40
5/6/2023 11:51:18,Yes,Male,Finance,2,4,4,5,1,TRUE,4,3,4,1,4,1,5,1,39
5/6/2023 11:51:40,Yes,Male,Accounting and audit,2,4,3,2,5,FALSE,2,3,2,4,2,3,2,5,39
5/6/2023 11:52:04,Yes,Male,Management,4,5,5,4,5,TRUE,4,4,5,5,5,4,3,4,57
5/6/2023 11:52:39,Yes,Male,Management,3,3,3,2,4,TRUE,4,5,2,5,3,3,3,4,44
5/6/2023 11:53:06,Yes,Female,Digital marketing,4,2,3,2,3,FALSE,2,4,2,5,3,3,4,2,39
5/6/2023 11:53:33,Yes,Female,Accounting and audit,4,4,2,3,3,TRUE,3,4,3,3,4,4,2,4,43
5/6/2023 11:53:59,Yes,Male,Accounting and audit,4,3,4,3,4,TRUE,5,4,4,3,3,3,4,4,48
5/6/2023 12:12:21,Yes,Male,Finance,3,2,3,4,5,TRUE,3,2,3,3,3,2,3,4,40
5/6/2023 12:12:45,Yes,Male,Management,2,3,2,2,4,TRUE,3,2,4,2,4,3,2,3,36
5/6/2023 12:13:10,Yes,Female,Economics,4,3,3,4,2,TRUE,4,3,3,3,3,3,4,2,41
5/6/2023 12:13:32,Yes,Female,Accounting and audit,3,4,5,4,5,TRUE,5,3,5,2,3,2,3,4,48
5/6/2023 12:13:52,Yes,Male,Finance,4,3,1,3,4,TRUE,3,4,3,3,3,2,2,3,38
5/6/2023 12:14:14,Yes,Male,Management,4,4,3,3,3,TRUE,4,4,4,4,3,5,3,5,49
5/6/2023 12:14:36,Yes,Male,Digital marketing,4,3,3,4,4,FALSE,2,5,3,4,3,4,2,3,44
5/6/2023 12:15:16,Yes,Male,Management,2,1,3,3,2,TRUE,3,2,5,2,2,4,3,3,35
5/6/2023 12:30:19,Yes,Female,Economics,3,4,2,2,2,TRUE,4,2,2,2,2,3,3,1,32
5/6/2023 13:00:08,Yes,Female,Digital marketing,1,4,2,3,3,TRUE,3,3,3,3,3,3,3,3,37
5/6/2023 13:38:51,Yes,Female,Digital marketing,4,5,4,4,4,TRUE,5,1,4,4,2,4,4,3,48
5/6/2023 18:25:40,Yes,Male,Finance,4,4,4,2,3,TRUE,4,4,4,3,5,5,5,5,52